Factor,Continent,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption
Afghanistan,Asia,0.211492418,0,0.141000878,0,0.224096386,0.982497083
Albania,Europe,0.575618516,0.45,0.720667252,0.68537415,0.310843373,0.955659277
Algeria,Africa,0.540103751,0.651923077,0.615522388,0.166666667,0.26626506,0.781796966
Argentina,South America,0.663806864,0.836538462,0.720702371,0.758503401,0.127710843,0.87747958
Armenia,Europe,0.569034318,0.646153846,0.652396839,0.753401361,0.144578313,0.638273046
Australia,Oceania,0.830207502,0.917307692,0.892783143,0.904761905,0.538554217,0.420070012
Austria,Europe,0.852154828,0.905769231,0.871712028,0.894557823,0.397590361,0.465577596
Azerbaijan,Europe,0.585395052,0.717307692,0.603266023,0.734693878,0.078313253,0.494749125
Bahrain,Asia,0.804868316,0.767307692,0.73808604,0.923469388,0.454216867,0.746791132
Bangladesh,Asia,0.36292897,0.442307692,0.573204565,0.841836735,0.297590361,0.700116686
Belarus,Europe,0.642059058,0.859615385,0.624231782,0.455782313,0.130120482,0.635939323
Belgium,Europe,0.835594573,0.851923077,0.833046532,0.681972789,0.162650602,0.658109685
Benin,Africa,0.289704709,0.05,0.218964004,0.637755102,0.306024096,0.675612602
Bolivia,South America,0.481045491,0.667307692,0.541633011,0.838435374,0.254216867,0.883313886
Bosnia and Herzegovina,Europe,0.589584996,0.782692308,0.689025461,0.551020408,0.48313253,0.990665111
Botswana,Africa,0.627893057,0.617307692,0.378964004,0.75170068,0.05060241,0.838973162
Brazil,South America,0.586991221,0.805769231,0.636453029,0.717687075,0.261445783,0.786464411
Bulgaria,Europe,0.674581006,0.9,0.65046532,0.69047619,0.231325301,0.991831972
Burkina Faso,Africa,0.208100559,0.401923077,0.199227392,0.532312925,0.336144578,0.777129522
Burundi,Africa,0,0.051923077,0.17285338,0.414965986,0.318072289,0.6126021
Cambodia,Asia,0.344173982,0.580769231,0.474872695,0.981292517,0.387951807,0.88798133
