Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,index,key,value,min,max,norm_val,mid
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Ladder score""",2.523,2.523,7.842,0,5.1825
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Logged GDP per capita""",7.695,7.364,10.933,0.092743065,9.1485
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Social support""",0.463,0.54,0.983,-0.173814898,0.7615
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Healthy life expectancy""",52.493,48.7,75.1,0.143674242,61.9
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Freedom to make life choices""",0.382,0.561,0.96,-0.448621554,0.7605
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Generosity""",-0.102,-0.236,0.509,0.179865772,0.1365
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1,"""Perceptions of corruption""",0.924,0.242,0.918,1.00887574,0.58
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Ladder score""",5.117,2.523,7.842,0.487685655,5.1825
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Logged GDP per capita""",9.52,7.364,10.933,0.604090782,9.1485
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Social support""",0.697,0.54,0.983,0.354401806,0.7615
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Healthy life expectancy""",68.999,48.7,75.1,0.768901515,61.9
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Freedom to make life choices""",0.785,0.561,0.96,0.561403509,0.7605
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Generosity""",-0.03,-0.236,0.509,0.276510067,0.1365
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2,"""Perceptions of corruption""",0.901,0.242,0.918,0.974852071,0.58
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Ladder score""",4.887,2.523,7.842,0.444444444,5.1825
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Logged GDP per capita""",9.342,7.364,10.933,0.554216867,9.1485
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Social support""",0.802,0.54,0.983,0.591422122,0.7615
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Healthy life expectancy""",66.005,48.7,75.1,0.655492424,61.9
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Freedom to make life choices""",0.48,0.561,0.96,-0.203007519,0.7605
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Generosity""",-0.067,-0.236,0.509,0.226845638,0.1365
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,3,"""Perceptions of corruption""",0.752,0.242,0.918,0.75443787,0.58
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Ladder score""",5.929,2.523,7.842,0.64034593,5.1825
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Logged GDP per capita""",9.962,7.364,10.933,0.727934996,9.1485
