Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Logged GDP per capita Proportion,Social support Proportion,Healthy life expectancy Proportion,Freedom to make life choices Proportion,Generosity Proportion,Perceptions of corruption Proportion
Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0,0.126,0,0.122,0.01,1.895,0.211492418,0,0.141000878,0,0.224096386,0.982497083
Albania,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,0.575618516,0.45,0.720667252,0.68537415,0.310843373,0.955659277
Algeria,Middle East and North Africa,4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,0.540103751,0.651923077,0.615522388,0.166666667,0.26626506,0.781796966
Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,0.663806864,0.836538462,0.720702371,0.758503401,0.127710843,0.87747958
Armenia,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,0.569034318,0.646153846,0.652396839,0.753401361,0.144578313,0.638273046
Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,0.830207502,0.917307692,0.892783143,0.904761905,0.538554217,0.420070012
Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,0.852154828,0.905769231,0.871712028,0.894557823,0.397590361,0.465577596
Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,0.585395052,0.717307692,0.603266023,0.734693878,0.078313253,0.494749125
Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,0.804868316,0.767307692,0.73808604,0.923469388,0.454216867,0.746791132
Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,0.36292897,0.442307692,0.573204565,0.841836735,0.297590361,0.700116686
Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,0.642059058,0.859615385,0.624231782,0.455782313,0.130120482,0.635939323
Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,0.835594573,0.851923077,0.833046532,0.681972789,0.162650602,0.658109685
Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,0.289704709,0.05,0.218964004,0.637755102,0.306024096,0.675612602
Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,0.481045491,0.667307692,0.541633011,0.838435374,0.254216867,0.883313886
Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,0.589584996,0.782692308,0.689025461,0.551020408,0.48313253,0.990665111
Botswana,Sub-Saharan Africa,3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,0.627893057,0.617307692,0.378964004,0.75170068,0.05060241,0.838973162
Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,0.586991221,0.805769231,0.636453029,0.717687075,0.261445783,0.786464411
Bulgaria,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,0.674581006,0.9,0.65046532,0.69047619,0.231325301,0.991831972
Burkina Faso,Sub-Saharan Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,0.208100559,0.401923077,0.199227392,0.532312925,0.336144578,0.777129522
Burundi,Sub-Saharan Africa,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,0,0.051923077,0.17285338,0.414965986,0.318072289,0.6126021
Cambodia,Southeast Asia,4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,0.344173982,0.580769231,0.474872695,0.981292517,0.387951807,0.88798133
Cameroon,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,0.310055866,0.475,0.176892011,0.593537415,0.378313253,0.893815636
Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,0.826217079,0.890384615,0.889271291,0.906462585,0.454216867,0.388564761
Chad,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,0.145450918,0.3,0,0.335034014,0.396385542,0.845974329
Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,0.685554669,0.805769231,0.755820896,0.612244898,0.293975904,0.872812135
China,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,0.606145251,0.669230769,0.741527656,0.887755102,0.171084337,0.78529755
Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,0.583000798,0.738461538,0.685618964,0.773809524,0.184337349,0.885647608
Comoros,Sub-Saharan Africa,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,0.278531524,0.313461538,0.311536435,0.282312925,0.445783133,0.815635939
Republic of Congo,Sub-Saharan Africa,5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,0.295690343,0.332692308,0.342159789,0.532312925,0.265060241,0.773628938
Costa Rica,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,0.647446129,0.823076923,0.804986831,0.93877551,0.195180723,0.848308051
Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,0.714684757,0.886538462,0.783880597,0.632653061,0.204819277,1
Cyprus,Western Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,0.786312849,0.651923077,0.892712906,0.647959184,0.328915663,0.889148191
Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,0.782322426,0.930769231,0.784161545,0.80952381,0.096385542,0.917152859
Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,0.857541899,0.944230769,0.850640913,0.959183673,0.38313253,0.113185531
Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,0.63188348,0.75,0.618928885,0.81292517,0.186746988,0.737456243
Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,0.534317638,0.688461538,0.713678665,0.782312925,0.197590361,0.88798133
Egypt,Middle East and North Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,0.54509178,0.551923077,0.474802458,0.62414966,0.127710843,0.831971995
El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,0.48264166,0.575,0.629464442,0.860544218,0.214457831,0.707117853
Estonia,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,0.76735834,0.919230769,0.713678665,0.896258503,0.219277108,0.519253209
Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,0.211292897,0.578846154,0.36951712,0.629251701,0.445783133,0.792298716
Finland,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,0.826017558,0.944230769,0.826057946,0.964285714,0.228915663,0.121353559
France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.811851556,0.921153846,0.896294996,0.74829932,0.169879518,0.570595099
Gabon,Sub-Saharan Africa,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,0.592178771,0.601923077,0.403301141,0.593537415,0.106024096,0.884480747
Gambia,Sub-Saharan Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,0.209696728,0.436538462,0.234661984,0.535714286,0.857831325,0.774795799
Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.58858739,0.4,0.555645303,0.681972789,0.060240964,0.668611435
Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,0.84557063,0.846153846,0.843617208,0.838435374,0.360240964,0.441073512
Ghana,Sub-Saharan Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,0.388068635,0.507692308,0.319859526,0.722789116,0.495180723,0.893815636
Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,0.727055068,0.692307692,0.847129061,0.340136054,0,0.864644107
Guatemala,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,0.482442139,0.673076923,0.578753292,0.891156463,0.301204819,0.808634772
Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,0.240023943,0.338461538,0.229323968,0.535714286,0.461445783,0.798133022
