Country name,Regional indicator,Continent,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder score normalised,Logged GDP per capita normalised,Social support normalised,Healthy life expectancy normalised,Freedom to make life choices normalised,Generosity normalised,Perceptions of corruption normalised
Afghanistan,South Asia,Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0,0.126,0,0.122,0.01,1.895,0,2.114924182,0,1.41000878,0,2.240963855,9.824970828
Albania,Central and Eastern Europe,Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,4.876856552,5.756185156,4.5,7.20667252,6.853741497,3.108433735,9.556592765
Algeria,Middle East and North Africa,Africa,4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,4.444444444,5.40103751,6.519230769,6.155223881,1.666666667,2.662650602,7.817969662
Argentina,Latin America and Caribbean,South America,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,6.403459297,6.638068635,8.365384615,7.207023705,7.585034014,1.277108434,8.774795799
Armenia,Commonwealth of Independent States,Europe,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,5.18894529,5.690343176,6.461538462,6.523968393,7.534013605,1.445783133,6.382730455
Australia,North America and ANZ,Oceania,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,8.761045309,8.30207502,9.173076923,8.927831431,9.047619048,5.385542169,4.200700117
Austria,Western Europe,Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,8.920849784,8.521548284,9.057692308,8.717120281,8.945578231,3.975903614,4.655775963
Azerbaijan,Commonwealth of Independent States,Europe,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,4.978379395,5.853950519,7.173076923,6.032660228,7.346938776,0.78313253,4.947491249
Bahrain,Middle East and North Africa,Asia,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,7.753337093,8.04868316,7.673076923,7.380860404,9.234693878,4.542168675,7.467911319
Bangladesh,South Asia,Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,4.703891709,3.629289705,4.423076923,5.732045654,8.418367347,2.975903614,7.001166861
Belarus,Commonwealth of Independent States,Europe,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,5.660838503,6.420590583,8.596153846,6.242317823,4.557823129,1.301204819,6.359393232
Belgium,Western Europe,Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,8.104906937,8.35594573,8.519230769,8.33046532,6.819727891,1.626506024,6.581096849
Benin,Sub-Saharan Africa,Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,4.741492762,2.897047087,0.5,2.189640035,6.37755102,3.060240964,6.756126021
Bolivia,Latin America and Caribbean,South America,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,6.003008084,4.810454908,6.673076923,5.416330114,8.384353741,2.542168675,8.833138856
Bosnia and Herzegovina,Central and Eastern Europe,Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,6.18537319,5.89584996,7.826923077,6.890254609,5.510204082,4.831325301,9.906651109
Botswana,Sub-Saharan Africa,Africa,3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,1.774769694,6.278930567,6.173076923,3.789640035,7.517006803,0.506024096,8.389731622
Brazil,Latin America and Caribbean,South America,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,7.157360406,5.869912211,8.057692308,6.36453029,7.176870748,2.614457831,7.864644107
Bulgaria,Central and Eastern Europe,Europe,5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,5.156984396,6.745810056,9,6.504653205,6.904761905,2.313253012,9.91831972
Burkina Faso,Sub-Saharan Africa,Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,4.344801654,2.081005587,4.019230769,1.992273924,5.323129252,3.361445783,7.771295216
Burundi,Sub-Saharan Africa,Africa,3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,2.353825907,0,0.519230769,1.728533802,4.149659864,3.180722892,6.126021004
Cambodia,Southeast Asia,Asia,4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,4.337281444,3.441739824,5.807692308,4.748726953,9.81292517,3.879518072,8.879813302
Cameroon,Sub-Saharan Africa,Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,4.923857868,3.100558659,4.75,1.768920105,5.93537415,3.78313253,8.938156359
Canada,North America and ANZ,North America,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,8.610641098,8.26217079,8.903846154,8.892712906,9.06462585,4.542168675,3.885647608
Chad,Sub-Saharan Africa,Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,3.444256439,1.454509178,3,0,3.350340136,3.963855422,8.459743291
Chile,Latin America and Caribbean,South America,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,6.860312089,6.855546688,8.057692308,7.558208955,6.12244898,2.939759036,8.728121354
China,East Asia,Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,5.294228238,6.061452514,6.692307692,7.415276558,8.87755102,1.710843373,7.852975496
Colombia,Latin America and Caribbean,South America,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,6.559503666,5.830007981,7.384615385,6.85618964,7.738095238,1.843373494,8.856476079
Comoros,Sub-Saharan Africa,Africa,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,3.320172965,2.785315243,3.134615385,3.115364355,2.823129252,4.457831325,8.156359393
Costa Rica,Latin America and Caribbean,North America,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,8.546719308,6.474461293,8.230769231,8.049868306,9.387755102,1.951807229,8.483080513
Croatia,Central and Eastern Europe,Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,6.315096823,7.146847566,8.865384615,7.83880597,6.326530612,2.048192771,10
Cyprus,Western Europe,Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,6.956194773,7.863128492,6.519230769,8.927129061,6.479591837,3.289156627,8.891481914
Czech Republic,Central and Eastern Europe,Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,8.351193833,7.823224262,9.307692308,7.841615452,8.095238095,0.963855422,9.171528588
Denmark,Western Europe,Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,9.582628314,8.575418994,9.442307692,8.506409131,9.591836735,3.831325301,1.131855309
Dominican Republic,Latin America and Caribbean,North America,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,5.681519083,6.318834796,7.5,6.18928885,8.129251701,1.86746988,7.374562427
Ecuador,Latin America and Caribbean,South America,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,6.093250611,5.343176377,6.884615385,7.136786655,7.823129252,1.975903614,8.879813302
Egypt,Middle East and North Africa,Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,3.308892649,5.450917797,5.519230769,4.748024583,6.241496599,1.277108434,8.319719953
El Salvador,Latin America and Caribbean,North America,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,6.651626246,4.8264166,5.75,6.294644425,8.605442177,2.144578313,7.07117853
Estonia,Central and Eastern Europe,Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,6.892272984,7.6735834,9.192307692,7.136786655,8.962585034,2.192771084,5.192532089
Ethiopia,Sub-Saharan Africa,Africa,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,3.293852228,2.11292897,5.788461538,3.695171203,6.292517007,4.457831325,7.922987165
Finland,Western Europe,Europe,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,10,8.260175579,9.442307692,8.260579456,9.642857143,2.289156627,1.213535589
France,Western Europe,Europe,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,7.834179357,8.118515563,9.211538462,8.962949956,7.482993197,1.698795181,5.705950992
Gabon,Sub-Saharan Africa,Africa,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,4.378642602,5.921787709,6.019230769,4.033011414,5.93537415,1.060240964,8.844807468
Gambia,Sub-Saharan Africa,Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,4.752773078,2.096967279,4.365384615,2.346619842,5.357142857,8.578313253,7.747957993
Georgia,Commonwealth of Independent States,Europe,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,4.451964655,5.885873903,4,5.556453029,6.819727891,0.602409639,6.686114352
Germany,Western Europe,Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,8.708403835,8.455706305,8.461538462,8.436172081,8.384353741,3.602409639,4.410735123
Ghana,Sub-Saharan Africa,Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,4.822335025,3.880686353,5.076923077,3.198595259,7.227891156,4.951807229,8.938156359
